DAY-Time,colore,dimensione_cm,lavabo,all_inclusive,numero_cassetti,ante,forma_specchiera,type,illuminazione,RISPOSTA
03-Mar 18:07,black,80,interno,yes,1,no,rectangular,sospeso,senza_illuminazione,N
03-Mar 18:07,white,60,interno,no,2,no,rectangular,a_terra,illuminazione_esterna,Y
03-Mar 18:07,dark_grey,80,interno,yes,3,no,round,sospeso,barra_led,Y
03-Mar 20:14,light_brown,60,sovrapposto,no,2,no,round,sospeso,senza_illuminazione,Y
03-Mar 20:14,dark_grey,60,interno,no,2,no,rectangular,sospeso,senza_illuminazione,Y
03-Mar 20:15,oak,100,sovrapposto,yes,2,no,rectangular,sospeso,barra_led,N
03-Mar 20:15,light_grey,100,sovrapposto,yes,4,no,rectangular,a_terra,barra_led,Y
03-Mar 20:15,light_grey,60,interno,no,2,no,round,sospeso,senza_illuminazione,Y
03-Mar 20:16,white,100,sovrapposto,no,4,no,rectangular,a_terra,illuminazione_esterna,N
03-Mar 20:16,dark_grey,80,sovrapposto,no,4,no,round,sospeso,barra_led,Y
03-Mar 20:16,oak,100,interno,no,1,no,rectangular,a_terra,senza_illuminazione,N
03-Mar 20:16,dark_grey,60,interno,yes,2,no,rectangular,sospeso,illuminazione_esterna,Y
03-Mar 20:16,dark_grey,80,sovrapposto,yes,3,no,rectangular,a_terra,senza_illuminazione,N
04-Mar 08:09,light_grey,80,sovrapposto,no,2,no,rectangular,a_terra,illuminazione_esterna,Y
04-Mar 08:09,light_brown,80,interno,no,2,no,rectangular,sospeso,illuminazione_esterna,Y
04-Mar 08:10,white,100,interno,no,1,no,rectangular,a_terra,barra_led,Y
04-Mar 08:10,oak,80,interno,yes,3,no,rectangular,a_terra,barra_led,Y
04-Mar 08:10,dark_grey,60,interno,yes,0,no,rectangular,sospeso,senza_illuminazione,Y
04-Mar 08:10,light_grey,100,interno,no,3,no,rectangular,a_terra,senza_illuminazione,N
04-Mar 08:11,black,120,sovrapposto,yes,3,no,rectangular,a_terra,illuminazione_esterna,Y
04-Mar 08:11,white,80,interno,no,1,no,round,a_terra,senza_illuminazione,N
04-Mar 08:11,light_grey,80,interno,yes,2,no,rectangular,sospeso,senza_illuminazione,Y
04-Mar 08:11,white,60,interno,yes,3,no,rectangular,a_terra,illuminazione_esterna,Y
04-Mar 09:42,light_grey,100,sovrapposto,no,1,no,rectangular,sospeso,senza_illuminazione,N
04-Mar 09:42,white,100,sovrapposto,yes,2,no,rectangular,a_terra,illuminazione_esterna,Y
04-Mar 09:42,light_brown,60,sovrapposto,no,2,no,round,sospeso,senza_illuminazione,N
04-Mar 09:42,black,120,sovrapposto,yes,4,no,round,sospeso,senza_illuminazione,N
04-Mar 09:43,white,60,interno,yes,2,no,rectangular,sospeso,senza_illuminazione,Y
04-Mar 09:43,white,80,interno,yes,2,no,rectangular,sospeso,senza_illuminazione,Y
04-Mar 09:43,light_grey,80,interno,no,4,no,rectangular,sospeso,senza_illuminazione,N
04-Mar 09:44,light_brown,80,sovrapposto,yes,3,no,rectangular,sospeso,barra_led,Y
04-Mar 09:44,oak,100,sovrapposto,yes,2,no,rectangular,sospeso,illuminazione_esterna,Y
04-Mar 09:44,light_grey,120,sovrapposto,no,4,no,rectangular,a_terra,barra_led,N
04-Mar 11:06,light_grey,80,interno,yes,3,no,rectangular,sospeso,barra_led,Y
04-Mar 11:06,oak,60,sovrapposto,no,2,no,round,sospeso,illuminazione_esterna,Y
04-Mar 11:06,oak,80,sovrapposto,yes,2,no,round,a_terra,illuminazione_esterna,Y
04-Mar 11:07,light_brown,120,sovrapposto,no,4,no,rectangular,a_terra,barra_led,Y
04-Mar 11:08,oak,80,sovrapposto,no,3,no,rectangular,sospeso,barra_led,Y
04-Mar 11:08,light_grey,60,sovrapposto,no,2,no,round,sospeso,illuminazione_esterna,Y
04-Mar 11:08,white,120,interno,yes,1,no,round,sospeso,illuminazione_esterna,Y
04-Mar 11:08,black,60,sovrapposto,no,3,no,rectangular,sospeso,senza_illuminazione,N
04-Mar 11:08,light_brown,100,sovrapposto,yes,1,no,round,a_terra,senza_illuminazione,N
04-Mar 11:08,light_grey,120,sovrapposto,yes,3,no,rectangular,sospeso,illuminazione_esterna,Y
04-Mar 13:28,oak,60,interno,yes,0,no,round,sospeso,barra_led,Y
04-Mar 13:28,light_grey,120,sovrapposto,yes,1,yes,rectangular,sospeso,barra_led,N
04-Mar 13:28,dark_grey,60,interno,yes,2,no,rectangular,a_terra,senza_illuminazione,Y
04-Mar 13:28,white,100,sovrapposto,yes,2,no,rectangular,a_terra,barra_led,Y
04-Mar 13:29,dark_grey,100,sovrapposto,no,2,no,rectangular,a_terra,senza_illuminazione,N
04-Mar 13:30,dark_grey,100,sovrapposto,no,0,yes,round,a_terra,senza_illuminazione,N
04-Mar 13:30,white,80,sovrapposto,yes,2,no,round,sospeso,senza_illuminazione,N
04-Mar 13:30,light_brown,100,sovrapposto,yes,3,no,round,a_terra,barra_led,N
04-Mar 13:30,light_brown,80,interno,no,2,no,round,sospeso,illuminazione_esterna,Y
04-Mar 13:31,white,60,interno,no,0,yes,rectangular,a_terra,senza_illuminazione,N
04-Mar 15:11,dark_grey,80,interno,yes,1,no,rectangular,sospeso,senza_illuminazione,Y
04-Mar 15:11,black,100,sovrapposto,no,3,no,rectangular,a_terra,senza_illuminazione,N
04-Mar 15:12,light_grey,60,sovrapposto,no,1,yes,round,a_terra,barra_led,Y
04-Mar 15:12,black,120,interno,yes,1,no,round,a_terra,senza_illuminazione,N
04-Mar 15:12,dark_grey,80,sovrapposto,yes,3,no,round,sospeso,barra_led,Y
04-Mar 15:12,light_brown,80,interno,yes,3,no,round,a_terra,senza_illuminazione,N
04-Mar 15:13,light_grey,60,interno,yes,3,no,round,sospeso,illuminazione_esterna,Y
04-Mar 15:13,dark_grey,60,sovrapposto,yes,2,no,rectangular,sospeso,senza_illuminazione,Y
04-Mar 15:14,light_brown,60,interno,no,2,no,rectangular,sospeso,senza_illuminazione,Y
04-Mar 15:14,light_brown,80,interno,yes,2,no,rectangular,sospeso,barra_led,Y
04-Mar 17:36,light_grey,60,interno,yes,2,no,round,sospeso,barra_led,Y
04-Mar 17:36,black,80,interno,yes,4,no,rectangular,sospeso,illuminazione_esterna,Y
04-Mar 17:36,white,60,interno,no,2,no,round,sospeso,senza_illuminazione,Y
04-Mar 17:36,white,80,sovrapposto,no,2,no,rectangular,a_terra,senza_illuminazione,N
04-Mar 17:37,light_grey,120,interno,yes,0,yes,round,a_terra,senza_illuminazione,N
04-Mar 17:37,oak,80,interno,yes,3,no,rectangular,sospeso,senza_illuminazione,Y
04-Mar 17:37,light_brown,80,interno,no,3,no,rectangular,sospeso,senza_illuminazione,N
04-Mar 17:37,light_brown,80,interno,no,0,yes,rectangular,sospeso,senza_illuminazione,N
04-Mar 17:38,dark_grey,60,interno,yes,2,no,rectangular,sospeso,barra_led,Y
04-Mar 17:38,dark_grey,80,interno,no,3,no,round,sospeso,senza_illuminazione,N
04-Mar 19:04,white,120,sovrapposto,yes,3,no,round,sospeso,senza_illuminazione,N
04-Mar 19:04,oak,100,interno,no,3,no,rectangular,sospeso,barra_led,Y
04-Mar 19:04,light_brown,100,interno,no,2,no,rectangular,a_terra,barra_led,N
04-Mar 19:05,white,120,interno,yes,3,no,rectangular,sospeso,senza_illuminazione,N
04-Mar 19:05,light_grey,100,sovrapposto,yes,2,no,rectangular,a_terra,senza_illuminazione,N
04-Mar 19:06,oak,120,interno,no,2,no,rectangular,a_terra,senza_illuminazione,Y
04-Mar 19:06,oak,100,interno,no,4,no,round,sospeso,senza_illuminazione,N
04-Mar 19:06,light_brown,80,sovrapposto,yes,3,no,round,sospeso,barra_led,Y
04-Mar 19:06,oak,80,interno,yes,2,no,rectangular,a_terra,senza_illuminazione,Y
04-Mar 19:07,oak,60,interno,yes,2,no,round,sospeso,illuminazione_esterna,Y
